,price,year_model,mileage,fuel_type,mark,model,fiscal_power,city
0,135000,2013,164999.5,Diesel,Peugeot,508,2.631837307152875, Temara
1,53000,2008,37499.5,Diesel,Renault,Clio,2.631837307152875, Safi
2,59000,2007,184999.5,Diesel,Citroen,C3,6.0, Fès
3,88000,2010,37499.5,Diesel,Mercedes Benz,220,2.631837307152875, Nador
4,60000,2009,134999.5,Essence,Ford,Fiesta,7.0, Fès
5,67000,2006,104999.5,Essence,Nissan,urano,20.0, Casablanca
6,73000,2007,12499.5,Diesel,Peugeot,Partner,2.631837307152875, Marrakech
7,68000,2003,274999.5,Diesel,Renault,Scenic,2.631837307152875, Marrakech
8,78000,2014,114999.5,Diesel,Fiat,Punto,5.0, Casablanca
9,40000,2001,174999.5,Diesel,Fiat,Palio,7.0, Fès
10,143000,2015,67499.5,Diesel,Skoda,RAPID,6.0, Casablanca
11,275000,2015,134999.5,Diesel,Hyundai,Santa Fe,2.631837307152875, Casablanca
12,118000,2015,87499.5,Diesel,Renault,Fluence,2.631837307152875, Rabat
13,92000,2009,27499.5,Diesel,Kia,Sorento,2.631837307152875, Rabat
14,89000,2014,77499.5,Diesel,Dacia,Logan,6.0, Meknès
15,75000,2009,124999.5,Essence,Opel,Corsa,7.0, Tétouan
16,53000,2008,32499.5,Diesel,Renault,Clio,2.631837307152875, Safi
17,58000,1993,224999.5,Diesel,Mercedes Benz,190,8.0, Tifelt
18,37000,2001,32499.5,Essence,Peugeot,406,2.631837307152875, Rabat
19,85000,2002,224999.5,Diesel,Volkswagen,Passat,2.631837307152875, Casablanca
20,89000,2007,124999.5,Essence,mini,cooper,8.0, Casablanca
21,48000,2001,104999.5,Diesel,Seat,Ibiza,8.0, Casablanca
22,203000,2014,174999.5,Diesel,Volkswagen,GOLF 7,2.631837307152875, Casablanca
23,32000,1999,124999.5,Essence,Fiat,Palio,2.631837307152875, Casablanca
24,140000,2007,27499.5,Diesel,Isuzu,D-MAX,2.631837307152875, Béni Mellal
25,65000,2008,114999.5,Essence,Fiat,Punto,7.0, Tanger
26,70000,2006,7499.5,Diesel,Peugeot,206,2.631837307152875, Tifelt
27,120000,2006,2499.5,Diesel,Mercedes Benz,Classe B,2.631837307152875, Fès
28,83000,1999,22499.5,Diesel,Volkswagen,GOLF 4,2.631837307152875, Al Hoceima
29,125000,2009,174999.5,Diesel,Volkswagen,Passat,8.0, Salé
30,58000,1995,12499.5,Diesel,Volkswagen,GOLF 3,2.631837307152875, Settat
31,168000,2014,52499.5,Diesel,Honda,Accord,2.631837307152875, Casablanca
32,105000,2014,114999.5,Diesel,Dacia,Duster,2.631837307152875, Casablanca
33,27000,1996,274999.5,Diesel,itsubishi,ther,8.0, Casablanca
34,82000,2010,154999.5,Diesel,Renault,Kangoo,2.631837307152875, Fès
35,73000,2007,12499.5,Diesel,Peugeot,Partner,2.631837307152875, Marrakech
36,75000,2012,67499.5,Essence,Ford,Fiesta,2.631837307152875, Casablanca
37,195000,2009,224999.5,Essence,Mercedes Benz,220,2.631837307152875, El Jadida
38,60000,2012,82499.5,Essence,Peugeot,206,2.631837307152875, Kénitra
39,56000,2007,274999.5,Diesel,Dacia,Logan,2.631837307152875, Mohammedia
